Execute:
> select id_catalogo_valor, id_catalogo, codigo , nombre , descripcion, activo from sipro_desa.catalogo_valor where id_catalogo = 3

+ ---------------------- + ---------------- + ----------- + ----------- + ---------------- + ----------- +
| id_catalogo_valor      | id_catalogo      | codigo      | nombre      | descripcion      | activo      |
+ ---------------------- + ---------------- + ----------- + ----------- + ---------------- + ----------- +
| 34                     | 3                | ALICOSTA B  | ALICOSTA BK HOLDING S A | ALICOSTA BK HOLDING S A | 1           |
| 64                     | 3                | ALIMENTOS   | ALIMENTOS ECUATORANOS ALIMEC S.A | ALIMENTOS ECUATORANOS ALIMEC S.A | 1           |
| 86                     | 3                | ATLAS       | FONDO DE INVERSION COLECTIVO ATLAS | FONDO DE INVERSION COLECTIVO ATLAS | 1           |
| 56                     | 3                | BANCO AMAZ  | BANCO AMAZONAS | BANCO AMAZONAS   | 1           |
| 28                     | 3                | BANCO BOLI  | BANCO BOLIVARIANO C.A. | BANCO BOLIVARIANO C.A. | 1           |
| 50                     | 3                | BANCO DE L  | PRODUBANCO  | BANCO DE LA PRODUCCION S.A . PRODUBANCO | 1           |
| 21                     | 3                | BANCO GUAY  | BANCO GUAYAQUIL | BANCO GUAYAQUIL S.A. | 1           |
| 24                     | 3                | BANCO PICH  | BANCO PICHINCHA | BANCO PICHINCHA C.A. | 1           |
| 30                     | 3                | BANCO SOLI  | BANCO SOLIDARIO S.A. | BANCO SOLIDARIO S.A. | 1           |
| 71                     | 3                | BANCOAUSTR  | BANCO AUSTRO | BANCO DEL AUSTRO | 1           |
| 72                     | 3                | BANCOMACHA  | BANCO DE MACHALA S.A. | BANCO DE MACHALA S.A. | 1           |
| 67                     | 3                | BEVERAGE B  | BEVERAGE BRAND PATENTS SA | BEVERAGE BRAND PATENTS SA | 1           |
| 81                     | 3                | BIENES UIO  | FONDO INVER COLEC BIENES UIO 2 | FONDO INVER COLEC BIENES UIO 2 | 1           |
| 18                     | 3                | BRIKAPITAL  | BRIKAPITAL  | BRIKAPITAL SA    | 1           |
| 62                     | 3                | BVG         | BOLSA DE VALORES DE GUAYAQUIL | BOLSA DE VALORES DE GUAYAQUIL | 1           |
| 59                     | 3                | BVQ         | BOLSA DE VALORES DE QUITO | BOLSA DE VALORES DE QUITO | 1           |
| 61                     | 3                | CEPSA       | CEPSA       | CEPSA            | 1           |
| 40                     | 3                | CERRO ALTO  | CERRO ALTO HIGHFOREST S A | CERRO ALTO HIGHFOREST S A | 1           |
| 41                     | 3                | CERRO VERD  | CERRO VERDE FORESTAL S A BIGFOREST | CERRO VERDE FORESTAL S A BIGFOREST | 1           |
| 15                     | 3                | CERVECERIA  | CERVECERIA NACIONAL CN S A | CERVECERIA NACIONAL CN S A | 1           |
| 63                     | 3                | CERVPREF    | CERVECERIA NACIONAL CN S A PREFERIDAS | CERVECERIA NACIONAL CN S A PREFERIDAS | 1           |
| 69                     | 3                | CIALCO CON  | CIALCO CONSTRUCTORA IMPORTADORA ALVAREZ | CIALCO CONSTRUCTORA IMPORTADORA ALVAREZ | 1           |
| 31                     | 3                | CONCLINA C  | CONCLINA C A CIA CONJU CLINICO NACIONAL | CONCLINA C A CIA CONJU CLINICO NACIONAL | 1           |
| 88                     | 3                | CONSTRUYE   | FONDO INV COLEC CONSTRUYE PATRIMONIO 01 | FONDO INV COLEC CONSTRUYE PATRIMONIO 01 | 1           |
| 29                     | 3                | CONTINENTA  | CONTINENTAL TIRE ANDINA S A | CONTINENTAL TIRE ANDINA S A | 1           |
| 60                     | 3                | CORP.DESAR  | CORP.DESARROLLO.M.S.HIPOTECAS  CTH | CORP.DESARROLLO.M.S.HIPOTECAS  CTH | 1           |
| 79                     | 3                | COTIZADO E  | FONDO DE INVERSION COTIZADO ETF | FONDO DE INVERSION COTIZADO ETF | 1           |
| 80                     | 3                | COTIZADO P  | FONDO DE INVERSION COTIZADO PRIME | FONDO DE INVERSION COTIZADO PRIME | 1           |
| 35                     | 3                | CRIDESA     | CRIDESA     | CRIDESA          | 1           |
| 77                     | 3                | EDUCACION   | EDUCACION Y FUTURO TEKAFUTURO SA | EDUCACION Y FUTURO TEKAFUTURO SA | 1           |
| 46                     | 3                | EL TECAL    | EL TECAL    | EL TECAL         | 1           |
| 16                     | 3                | FAVORITA    | LA FAVORITA | CORPORACION FAVORITA C.A. | 1           |
| 78                     | 3                | FONDO COLE  | FONDO COLEC DE INVER VANGUARDIA VERSATIL | FONDO COLEC DE INVER VANGUARDIA VERSATIL | 1           |
| 22                     | 3                | HOLCIM ECU  | HOLCIM ECUADOR S.A. | HOLCIM ECUADOR S.A. | 1           |
| 27                     | 3                | HOLDING TO  | HOLDING TONICORP S.A. | HOLDING TONICORP S.A. | 1           |
| 47                     | 3                | HOMEFOREST  | HOMEFOREST EL REFUGIO FORESTAL S A | HOMEFOREST EL REFUGIO FORESTAL S A | 1           |
| 19                     | 3                | HOTEL COLO  | HOTEL COLON | HOTEL COLON      | 1           |
| 84                     | 3                | HS HOSPICA  | HS HOSPICAPITAL HOLDING SA | HS HOSPICAPITAL HOLDING SA | 1           |
| 57                     | 3                | INDUSTRIAS  | INDUSTRIAS ALES | INDUSTRIAS ALES  | 1           |
