id_instrumento,id_emisor,id_tipo_inversion,codigo_titulo,nombre,fecha_emision,fecha_vencimiento,tasa_referencial,rendimiento_nominal,codigo_seb,codigo_bce,fechas_recuperacion,vector_precio,activo,fecha_creacion,fecha_actualizacion
1,142,5,INV_5_20270830,"AGRO SILVIA MARIA AGROSYLMA 2027-08-30",NULL,2027-08-30,8.50000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
2,129,1,INV_1_20200331,"Pacífico 2020-03-31",2020-02-26,2020-03-31,4.95000000,4.95000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 09:18:18"
3,150,75,INV_75_20281212,"NUEVO TRANSPORTE 2028-12-12",2023-06-12,2028-12-12,8.50000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
4,129,1,INV_1_20200703,"Pacífico 2020-07-03",2020-06-03,2020-07-03,5.17000000,5.17000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 09:18:18"
5,141,3,INV_3_20220113,"Superdeporte 2022-01-13",NULL,2022-01-13,9.32000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
6,129,1,INV_1_20201215,"Pacífico 2020-12-15",2020-10-30,2020-12-15,4.67000000,4.67000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 09:18:18"
7,128,1,INV_1_20210115,"2020-06-16 Diners 2021-01-15",2020-06-16,2021-01-15,8.16000000,8.16000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 08:59:34"
8,139,4,INV_4_20271018,"2023-10-18 BONOS DEL ESTADO 2027-10-18",2023-10-18,2027-10-18,4.71000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
9,139,4,INV_4_20320517,"2023-05-17 BONOS DEL ESTADO 2032-05-17",2023-05-17,2032-05-17,6.21000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
10,148,5,INV_5_20280303,"CORPETROLSA 2028-03-03",NULL,2028-03-03,8.50000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
11,139,4,INV_4_20331118,"2024-11-18 BONOS DEL ESTADO 2033-11-18",2024-11-18,2033-11-18,6.21000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
12,139,4,INV_4_20291018,"2023-10-18 BONOS DEL ESTADO 2029-10-18",2023-10-18,2029-10-18,5.36000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
13,140,2,INV_2_20210512,"2020-12-16 MOLSANDO MOLINOS - DANEC 2021-05-12",2020-12-16,2021-05-12,8.94000000,8.94000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 09:18:18"
14,139,4,INV_4_20301227,"2022-12-27 BONOS DEL ESTADO 2030-12-27",2022-12-27,2030-12-27,5.93000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
15,146,5,INV_5_20271210,"EMPAGRAN 2027-12-10",NULL,2027-12-10,9.00000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
16,143,5,INV_5_20221220,"Comandato 2022-12-20",NULL,2022-12-20,8.00000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
17,139,4,INV_4_20340508,"2025-05-08 BONOS DEL ESTADO 2034-05-08",2025-05-08,2034-05-08,7.93000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
18,136,5,INV_5_20251118,"PRODUCTORA CARTONERA S.A. 2025-11-18 2025-11-18",NULL,2025-11-18,8.50000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
19,131,2,INV_2_20191201,"2019-07-10 VECTORQUIM CÍA. LTDA. 2019-12-01",2019-07-10,2019-12-01,8.75000000,8.75000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 09:18:18"
20,139,4,INV_4_20301228,"2022-12-28 BONOS DEL ESTADO 2030-12-28",2022-12-28,2030-12-28,5.93000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
21,130,2,INV_2_20210627,"2020-12-16 CARTIMEX S. A. 2021-06-27",2020-12-16,2021-06-27,9.12000000,9.12000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 09:18:18"
22,139,4,INV_4_20301215,"2022-12-15 BONOS DEL ESTADO 2030-12-15",2022-12-15,2030-12-15,5.93000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
23,141,3,INV_3_20210825,"Superdeporte 2021-08-25",NULL,2021-08-25,8.77000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
24,134,2,INV_2_20191213,"2019-10-25 CIMEXPORT S.A. 2019-12-13",2019-10-25,2019-12-13,7.27000000,7.27000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 09:18:18"
25,14,73,INV_73_20341231,"BRIKAPITAL 2034-12-31",2024-02-01,2034-12-31,6.00000000,12.45000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 09:14:42"
26,151,5,INV_5_20280205,"TELCONET 2028-02-05",2025-02-05,2028-02-05,9.00000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
27,152,5,SEB_-,"BLUE ENERGY 2033-03-11",2026-03-11,2033-03-11,9.00000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
28,139,4,INV_4_20311227,"2022-12-27 BONOS DEL ESTADO 2031-12-27",2022-12-27,2031-12-27,6.21000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
29,146,5,INV_5_20280408,"EMPAGRAN 2028-04-08",2025-04-08,2028-04-08,9.00000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
30,139,4,INV_4_20300524,"2023-05-24 BONOS DEL ESTADO 2030-05-24",2023-05-24,2030-05-24,5.64000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
31,135,2,INV_2_20200902,"2020-03-20 SURPAPEL 2020-09-02",2020-03-20,2020-09-02,9.00000000,9.00000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 09:18:18"
32,137,2,INV_2_20201028,"2020-07-07 REPAPERS RECICLAJE DEL ECUADOR SA 2020-10-28",2020-07-07,2020-10-28,8.09000000,8.09000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 09:18:18"
33,136,5,INV_5_20240113,"PRODUCTORA CARTONERA S.A. 2024-01-13 2024-01-13",NULL,2024-01-13,8.00000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
34,147,5,INV_5_20260622,"FUROIANI 2026-06-22 2026-06-22",NULL,2026-06-22,8.00000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
35,136,2,INV_2_20201022,"2020-06-02 PRODUCTORA CARTONERA S.A. 2020-10-22",2020-06-02,2020-10-22,9.01000000,9.01000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 09:18:18"
36,139,4,INV_4_20291228,"2022-12-28 BONOS DEL ESTADO 2029-12-28",2022-12-28,2029-12-28,5.64000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
37,136,2,INV_2_20201213,"2020-07-03 PRODUCTORA CARTONERA S.A. 2020-12-13",2020-07-03,2020-12-13,8.45000000,8.45000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 09:18:18"
38,139,4,INV_4_20311202,"2024-12-02 BONOS DEL ESTADO 2031-12-02",2024-12-02,2031-12-02,5.64000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
39,139,4,INV_4_20261018,"2023-10-18 BONOS DEL ESTADO 2026-10-18",2023-10-18,2026-10-18,4.30000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
40,139,4,INV_4_20201201,"2013-12-01 BONOS DEL ESTADO 2020-12-01",2013-12-01,2020-12-01,5.64000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
41,137,2,INV_2_20201028,"2020-07-06 REPAPERS RECICLAJE DEL ECUADOR SA 2020-10-28",2020-07-06,2020-10-28,8.09000000,8.09000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 09:18:18"
42,130,2,INV_2_20210613,"2020-12-29 CARTIMEX S. A. 2021-06-13",2020-12-29,2021-06-13,9.06000000,9.06000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 09:18:18"
43,139,4,INV_4_20320905,"2025-09-05 BONOS DEL ESTADO 2032-09-05",2025-09-05,2032-09-05,7.54000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
44,131,2,INV_2_20200705,"2020-02-20 VECTORQUIM CÍA. LTDA. 2020-07-05",2020-02-20,2020-07-05,9.16000000,9.16000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 09:18:18"
45,139,4,INV_4_20250524,"2023-05-24 BONOS DEL ESTADO 2025-05-24",2023-05-24,2025-05-24,3.82000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
46,139,4,INV_4_20330711,"2023-07-11 BONOS DEL ESTADO 2033-07-11",2023-07-11,2033-07-11,6.50000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
