Año	Mes	Interés	Capital	Premio	Interés riesgo	Capital riesgo	Premio riesgo	Total
2026	Enero	3,759.43	2,478.44	75.36	0.00	0.00	0.00	6,237.87
2026	Febrero	5,030.79	11,586.90	123.76	0.00	0.00	0.00	16,617.69
2026	Marzo	4,487.88	9,814.69	0.00	0.00	0.00	0.00	14,302.57
2026	Abril	2,773.17	5,795.51	123.52	0.00	0.00	0.00	8,568.68
2026	Mayo	2,660.10	7,257.01	123.76	0.00	0.00	0.00	9,917.11
2026	Junio	3,039.92	10,866.14	40.32	0.00	0.00	0.00	13,906.06
2026	Julio	2,361.83	4,941.82	123.52	0.00	0.00	0.00	7,303.65
2026	Agosto	2,492.03	10,425.67	123.76	0.00	0.00	0.00	12,917.70
2026	Septiembre	2,856.97	8,131.12	40.32	0.00	0.00	0.00	10,988.09
2026	Octubre	2,247.86	4,941.82	123.54	0.00	0.00	0.00	7,189.68
2026	Noviembre	2,025.95	7,635.35	123.76	0.00	0.00	0.00	9,661.30
2026	Diciembre	2,677.63	8,177.39	40.32	0.00	0.00	0.00	10,855.02
2026	ANUAL TOTAL	36,413.56	92,051.86	1,061.94	0.00	0.00	0.00	128,465.42
2026	ANUAL EJECUTADO	16,079.41	29,675.54	322.64	0.00	0.00	0.00	45,754.95
2026	ANUAL PENDIENTE	20,334.15	62,376.32	739.30	0.00	0.00	0.00	82,710.47
