id_amortizacion;id_inversion;numero_cuota;fecha_pago;interes;capital;descuento;total;int_parcial;retencion;id_estado_amortizacion;pagada;activo;eliminado;fecha_creacion;fecha_actualizacion
11360;393;22;25/5/2026;161,91;24,91;0;0;161,91;0;1;0;1;0;3/5/2026 20:51;3/5/2026 20:51
11361;393;23;25/6/2026;186,82;0;0;0;186,82;0;1;0;1;0;3/5/2026 20:51;3/5/2026 20:51
11362;393;24;25/7/2026;186,82;0;0;0;186,82;0;1;0;1;0;3/5/2026 20:51;3/5/2026 20:51
11363;393;25;25/8/2026;186,82;0;0;0;186,82;0;1;0;1;0;3/5/2026 20:51;3/5/2026 20:51
11364;393;26;25/9/2026;186,82;0;0;0;186,82;0;1;0;1;0;3/5/2026 20:51;3/5/2026 20:51
11365;393;27;25/10/2026;186,82;0;0;0;186,82;0;1;0;1;0;3/5/2026 20:51;3/5/2026 20:51
11366;393;28;25/11/2026;186,82;0;0;0;186,82;0;1;0;1;0;3/5/2026 20:51;3/5/2026 20:51
11367;393;29;25/12/2026;186,82;0;0;0;186,82;0;1;0;1;0;3/5/2026 20:51;3/5/2026 20:51
11368;393;30;25/1/2027;186,82;0;0;0;186,82;0;1;0;1;0;3/5/2026 20:51;3/5/2026 20:51
11369;393;31;25/2/2027;186,82;0;0;0;186,82;0;1;0;1;0;3/5/2026 20:51;3/5/2026 20:51
11370;393;32;25/3/2027;186,82;0;0;0;186,82;0;1;0;1;0;3/5/2026 20:51;3/5/2026 20:51
11371;393;33;25/4/2027;186,82;0;0;0;186,82;0;1;0;1;0;3/5/2026 20:51;3/5/2026 20:51
11372;393;34;25/5/2027;186,82;0;0;0;186,82;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11373;393;35;25/6/2027;186,82;0;0;0;186,82;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11374;393;36;25/7/2027;186,82;0;0;0;186,82;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11375;393;37;25/8/2027;186,82;0;0;0;186,82;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11376;393;38;25/9/2027;186,82;0;0;0;186,82;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11377;393;39;25/10/2027;186,82;0;0;0;186,82;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11378;393;40;25/11/2027;186,82;0;0;0;186,82;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11379;393;41;25/12/2027;186,82;0;0;0;186,82;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11380;393;42;25/1/2028;186,82;0;0;0;186,82;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11381;393;43;25/2/2028;186,82;0;0;0;186,82;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11382;393;44;25/3/2028;186,82;0;0;0;186,82;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11383;393;45;25/4/2028;186,82;0;0;0;186,82;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11384;393;46;25/5/2028;186,82;0;0;0;186,82;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11385;393;47;25/6/2028;186,82;0;0;0;186,82;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11386;393;48;25/7/2028;186,82;0;0;0;186,82;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11387;393;49;25/8/2028;186,82;0;0;0;186,82;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11388;393;50;25/9/2028;186,82;0;0;0;186,82;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11389;393;51;25/10/2028;186,82;0;0;0;186,82;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11390;393;52;25/11/2028;186,82;0;0;0;186,82;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11391;393;53;25/12/2028;186,82;0;0;0;186,82;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11392;393;54;25/1/2029;186,82;0;0;0;186,82;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11393;393;55;25/2/2029;186,82;0;0;0;186,82;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11394;393;56;25/3/2029;186,82;0;0;0;186,82;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11395;393;57;25/4/2029;186,82;0;0;0;186,82;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11396;393;58;25/5/2029;186,82;0;0;0;186,82;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11397;393;59;25/6/2029;186,82;0;0;0;186,82;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11398;393;60;25/7/2029;186,82;0;0;0;186,82;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11399;393;61;25/8/2029;186,82;0;0;0;186,82;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11400;393;62;25/9/2029;186,82;0;0;0;186,82;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11401;393;63;25/10/2029;186,82;0;0;0;186,82;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11402;393;64;25/11/2029;186,82;0;0;0;186,82;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11403;393;65;25/12/2029;186,82;0;0;0;186,82;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11404;393;66;25/1/2030;186,82;0;0;0;186,82;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11405;393;67;25/2/2030;186,82;0;0;0;186,82;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11406;393;68;25/3/2030;186,82;0;0;0;186,82;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11407;393;69;25/4/2030;186,82;0;0;0;186,82;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11408;393;70;25/5/2030;186,82;0;0;0;186,82;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11409;393;71;25/6/2030;186,82;0;0;0;186,82;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11410;393;72;25/7/2030;1301,48;7910,34;1114,66;0;1301,48;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11411;393;73;25/8/2030;140,11;0;0;0;140,11;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11412;393;74;25/9/2030;140,11;0;0;0;140,11;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11413;393;75;25/10/2030;140,11;0;0;0;140,11;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11414;393;76;25/11/2030;140,11;0;0;0;140,11;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11415;393;77;25/12/2030;140,11;0;0;0;140,11;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11416;393;78;25/1/2031;140,11;0;0;0;140,11;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11417;393;79;25/2/2031;140,11;0;0;0;140,11;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11418;393;80;25/3/2031;140,11;0;0;0;140,11;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11419;393;81;25/4/2031;140,11;0;0;0;140,11;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11420;393;82;25/5/2031;140,11;0;0;0;140,11;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11421;393;83;25/6/2031;140,11;0;0;0;140,11;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11422;393;84;25/7/2031;1254,77;7910,34;1114,66;0;1254,77;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11423;393;85;25/8/2031;93,41;0;0;0;93,41;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11424;393;86;25/9/2031;93,41;0;0;0;93,41;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11425;393;87;25/10/2031;93,41;0;0;0;93,41;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11426;393;88;25/11/2031;93,41;0;0;0;93,41;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11427;393;89;25/12/2031;93,41;0;0;0;93,41;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11428;393;90;25/1/2032;93,41;0;0;0;93,41;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11429;393;91;25/2/2032;93,41;0;0;0;93,41;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
11430;393;92;25/3/2032;93,41;0;0;0;93,41;0;1;0;0;0;3/5/2026 20:51;3/5/2026 20:51
